insertId,"'labels.""commit-sha""","'labels.""gcb-build-id""","'labels.""gcb-trigger-id""","'labels.""gcb-trigger-region""",labels.instanceId,"'labels.""managed-by""",logName,receiveLocation,receiveTimestamp,resource.labels.configuration_name,resource.labels.location,resource.labels.project_id,resource.labels.revision_name,resource.labels.service_name,resource.type,textPayload,timestamp
6998b4690007730f642409d2,3fa961b767e13a36f326a83d131d1fe738515aec,"'b0b3fd6b-b513-416f-90e9-6dc295cb6ad7","'e79628a4-0fd7-416d-ad83-b844f48731e8",global,00da6cd2c42e0dba1ac3cf783709f48d401ed18bdd884a6ae1a22b8206cf32236c0e568b25f0fa32c163793de907976c856895f36b57877db4d96274110281a8171bab8e96e941c168f9f5cc36,"'gcp-cloud-build-deploy-cloud-run","'projects/honeypot-485713/logs/run.googleapis.com%2Fstdout",,"'2026-02-20T19:22:17.806059241Z",honeypotscammer,"'asia-south2","'honeypot-485713","'honeypotscammer-00068-bkp",honeypotscammer,cloud_run_revision,"'[2026-02-20 19:22:17] INFO     | app.main                       | Request END: GET /health | Status: 200 | Time: 0.003s | Client: 169.254.169.126","'2026-02-20T19:22:17.488207Z"
6998b4690007689502f69208,3fa961b767e13a36f326a83d131d1fe738515aec,"'b0b3fd6b-b513-416f-90e9-6dc295cb6ad7","'e79628a4-0fd7-416d-ad83-b844f48731e8",global,00da6cd2c42e0dba1ac3cf783709f48d401ed18bdd884a6ae1a22b8206cf32236c0e568b25f0fa32c163793de907976c856895f36b57877db4d96274110281a8171bab8e96e941c168f9f5cc36,"'gcp-cloud-build-deploy-cloud-run","'projects/honeypot-485713/logs/run.googleapis.com%2Fstdout",,"'2026-02-20T19:22:17.806059241Z",honeypotscammer,"'asia-south2","'honeypot-485713","'honeypotscammer-00068-bkp",honeypotscammer,cloud_run_revision,"'[2026-02-20 19:22:17] INFO     | app.main                       | Request START: GET /health | Client: 169.254.169.126 | User-Agent: GoogleStackdriverMonitoring-UptimeChecks(https://cloud.google.com/monitoring)","'2026-02-20T19:22:17.485525Z"
6998b4630001fd1c68b2f84a,3fa961b767e13a36f326a83d131d1fe738515aec,"'b0b3fd6b-b513-416f-90e9-6dc295cb6ad7","'e79628a4-0fd7-416d-ad83-b844f48731e8",global,00da6cd2c42e0dba1ac3cf783709f48d401ed18bdd884a6ae1a22b8206cf32236c0e568b25f0fa32c163793de907976c856895f36b57877db4d96274110281a8171bab8e96e941c168f9f5cc36,"'gcp-cloud-build-deploy-cloud-run","'projects/honeypot-485713/logs/run.googleapis.com%2Fstdout",,"'2026-02-20T19:22:11.145745342Z",honeypotscammer,"'asia-south2","'honeypot-485713","'honeypotscammer-00068-bkp",honeypotscammer,cloud_run_revision,"'[2026-02-20 19:22:11] INFO     | app.main                       | Request END: GET /health | Status: 200 | Time: 0.006s | Client: 169.254.169.126","'2026-02-20T19:22:11.130332Z"
6998b4630001e748dadd727b,3fa961b767e13a36f326a83d131d1fe738515aec,"'b0b3fd6b-b513-416f-90e9-6dc295cb6ad7","'e79628a4-0fd7-416d-ad83-b844f48731e8",global,00da6cd2c42e0dba1ac3cf783709f48d401ed18bdd884a6ae1a22b8206cf32236c0e568b25f0fa32c163793de907976c856895f36b57877db4d96274110281a8171bab8e96e941c168f9f5cc36,"'gcp-cloud-build-deploy-cloud-run","'projects/honeypot-485713/logs/run.googleapis.com%2Fstdout",,"'2026-02-20T19:22:11.145745342Z",honeypotscammer,"'asia-south2","'honeypot-485713","'honeypotscammer-00068-bkp",honeypotscammer,cloud_run_revision,"'[2026-02-20 19:22:11] INFO     | app.main                       | Request START: GET /health | Client: 169.254.169.126 | User-Agent: GoogleStackdriverMonitoring-UptimeChecks(https://cloud.google.com/monitoring)","'2026-02-20T19:22:11.124744Z"
6998b4590005c8762c42ae6b,3fa961b767e13a36f326a83d131d1fe738515aec,"'b0b3fd6b-b513-416f-90e9-6dc295cb6ad7","'e79628a4-0fd7-416d-ad83-b844f48731e8",global,00da6cd2c42e0dba1ac3cf783709f48d401ed18bdd884a6ae1a22b8206cf32236c0e568b25f0fa32c163793de907976c856895f36b57877db4d96274110281a8171bab8e96e941c168f9f5cc36,"'gcp-cloud-build-deploy-cloud-run","'projects/honeypot-485713/logs/run.googleapis.com%2Fstdout",,"'2026-02-20T19:22:01.487804072Z",honeypotscammer,"'asia-south2","'honeypot-485713","'honeypotscammer-00068-bkp",honeypotscammer,cloud_run_revision,"'[2026-02-20 19:22:01] INFO     | app.main                       | Request END: GET /health | Status: 200 | Time: 0.008s | Client: 169.254.169.126","'2026-02-20T19:22:01.378998Z"
6998b4590005aad7daa90609,3fa961b767e13a36f326a83d131d1fe738515aec,"'b0b3fd6b-b513-416f-90e9-6dc295cb6ad7","'e79628a4-0fd7-416d-ad83-b844f48731e8",global,00da6cd2c42e0dba1ac3cf783709f48d401ed18bdd884a6ae1a22b8206cf32236c0e568b25f0fa32c163793de907976c856895f36b57877db4d96274110281a8171bab8e96e941c168f9f5cc36,"'gcp-cloud-build-deploy-cloud-run","'projects/honeypot-485713/logs/run.googleapis.com%2Fstdout",,"'2026-02-20T19:22:01.487804072Z",honeypotscammer,"'asia-south2","'honeypot-485713","'honeypotscammer-00068-bkp",honeypotscammer,cloud_run_revision,"'[2026-02-20 19:22:01] INFO     | app.main                       | Request START: GET /health | Client: 169.254.169.126 | User-Agent: GoogleStackdriverMonitoring-UptimeChecks(https://cloud.google.com/monitoring)","'2026-02-20T19:22:01.371415Z"
6998b4520003582c9f0ecd8b,3fa961b767e13a36f326a83d131d1fe738515aec,"'b0b3fd6b-b513-416f-90e9-6dc295cb6ad7","'e79628a4-0fd7-416d-ad83-b844f48731e8",global,00da6cd2c42e0dba1ac3cf783709f48d401ed18bdd884a6ae1a22b8206cf32236c0e568b25f0fa32c163793de907976c856895f36b57877db4d96274110281a8171bab8e96e941c168f9f5cc36,"'gcp-cloud-build-deploy-cloud-run","'projects/honeypot-485713/logs/run.googleapis.com%2Fstdout",,"'2026-02-20T19:21:54.494285963Z",honeypotscammer,"'asia-south2","'honeypot-485713","'honeypotscammer-00068-bkp",honeypotscammer,cloud_run_revision,"'[2026-02-20 19:21:54] INFO     | app.main                       | Request END: GET /health | Status: 200 | Time: 0.005s | Client: 169.254.169.126","'2026-02-20T19:21:54.219180Z"
6998b45200034454ea328b2b,3fa961b767e13a36f326a83d131d1fe738515aec,"'b0b3fd6b-b513-416f-90e9-6dc295cb6ad7","'e79628a4-0fd7-416d-ad83-b844f48731e8",global,00da6cd2c42e0dba1ac3cf783709f48d401ed18bdd884a6ae1a22b8206cf32236c0e568b25f0fa32c163793de907976c856895f36b57877db4d96274110281a8171bab8e96e941c168f9f5cc36,"'gcp-cloud-build-deploy-cloud-run","'projects/honeypot-485713/logs/run.googleapis.com%2Fstdout",,"'2026-02-20T19:21:54.494285963Z",honeypotscammer,"'asia-south2","'honeypot-485713","'honeypotscammer-00068-bkp",honeypotscammer,cloud_run_revision,"'[2026-02-20 19:21:54] INFO     | app.main                       | Request START: GET /health | Client: 169.254.169.126 | User-Agent: GoogleStackdriverMonitoring-UptimeChecks(https://cloud.google.com/monitoring)","'2026-02-20T19:21:54.214100Z"
6998b4470008eb3d854a0c77,3fa961b767e13a36f326a83d131d1fe738515aec,"'b0b3fd6b-b513-416f-90e9-6dc295cb6ad7","'e79628a4-0fd7-416d-ad83-b844f48731e8",global,00da6cd2c42e0dba1ac3cf783709f48d401ed18bdd884a6ae1a22b8206cf32236c0e568b25f0fa32c163793de907976c856895f36b57877db4d96274110281a8171bab8e96e941c168f9f5cc36,"'gcp-cloud-build-deploy-cloud-run","'projects/honeypot-485713/logs/run.googleapis.com%2Fstdout",,"'2026-02-20T19:21:43.840438639Z",honeypotscammer,"'asia-south2","'honeypot-485713","'honeypotscammer-00068-bkp",honeypotscammer,cloud_run_revision,"'[2026-02-20 19:21:43] INFO     | app.main                       | Callback monitor: Active (1.5min inactivity threshold)","'2026-02-20T19:21:43.584509Z"
6998b4470008eb02513919b9,3fa961b767e13a36f326a83d131d1fe738515aec,"'b0b3fd6b-b513-416f-90e9-6dc295cb6ad7","'e79628a4-0fd7-416d-ad83-b844f48731e8",global,00da6cd2c42e0dba1ac3cf783709f48d401ed18bdd884a6ae1a22b8206cf32236c0e568b25f0fa32c163793de907976c856895f36b57877db4d96274110281a8171bab8e96e941c168f9f5cc36,"'gcp-cloud-build-deploy-cloud-run","'projects/honeypot-485713/logs/run.googleapis.com%2Fstdout",,"'2026-02-20T19:21:43.840438639Z",honeypotscammer,"'asia-south2","'honeypot-485713","'honeypotscammer-00068-bkp",honeypotscammer,cloud_run_revision,"'[2026-02-20 19:21:43] INFO     | app.main                       | Caching: Disabled","'2026-02-20T19:21:43.584450Z"
